MAX TEMPERATURE (Theoretical: )
Seed	Climate at origin	Max climate
-4611685640552516413	1.8408	NULL
-9223371657374442625	1.8246	NULL
-4611685638423890565	1.8054	NULL
4611686400713390302	1.8118	NULL
4611686401070065230	1.8719	NULL
382858517638	1.8051	NULL
382878127973	1.8706	NULL
385667775167	1.8133	NULL
-4611685626160274618	1.8118	NULL
-9223371637487694704	1.8080	NULL
-9223371626268673181	1.8703	NULL
-4611685605471607469	1.8066	NULL
-9223371622004272462	1.8074	NULL
4611686436316299175	1.8054	NULL
-4611685598600276805	1.8237	NULL
4611686439099536884	1.9048	NULL
4611686440647886991	1.8166	NULL
-9223371609426743997	1.8168	NULL
431087420929	1.8142	NULL
-4611685585130181825	1.8805	NULL
-4611685581772576113	1.9477	1.9605
4611686456457744422	1.8161	NULL
-4611685577384104575	1.8871	NULL
441785260152	1.8905	NULL
4611686464714007190	1.8004	NULL
-4611685572090801666	1.8598	NULL
-9223371590167805543	1.8414	NULL
4611686465366696745	1.8019	NULL
-9223371589412174492	1.8500	NULL
4611686467907919227	1.8279	NULL
450131087744	1.8143	NULL
4611686469698432445	1.8132	NULL
4611686471782546674	1.8349	NULL
-4611685564808909286	1.8992	NULL
-9223371582738410009	1.8240	NULL
454705598384	1.8979	NULL
456697115143	1.8066	NULL
-9223371573859373455	1.8174	NULL
-4611685554376878233	1.8776	NULL
-4611685551991819322	1.8461	NULL
4611686485343012403	1.8133	NULL
466996851835	1.8129	NULL
-9223371569815268550	1.8322	NULL
470965715804	1.8334	NULL
-9223371564691777158	1.8874	NULL
-4611685545727192513	1.8151	NULL
-4611685545250259413	1.8925	NULL
477553029843	1.8062	NULL
-4611685540650136565	1.8897	NULL
478667303909	1.8356	NULL
4611686497304124001	1.9631	2.0790	(-435, -230)
-9223371554119508801	1.8038	NULL
-4611685535420488235	1.8410	NULL
-4611685535027771519	1.8205	NULL

484000000000
----------------------------
MIN CONTINENTALNESS (Theoretical: )
302094309	-1.9700	NULL
4611686018505563599	-1.9734	NULL
4611686019227932185	-2.0243	-2.0827
4611686022985608484	-1.9544	NULL
4611686023466636978	-2.0499	-2.0614
4611686024707076923	-1.9651	NULL
4611686025391399380	-1.9676	NULL
-9223372032476494953	-1.9439	NULL
-9223372032392149117	-1.9927	NULL
-9223372031350201136	-1.9456	NULL
-9223372031099965660	-1.9712	NULL
-9223372030522612209	-1.9644	NULL
-9223372030004268505	-1.9738	NULL
-9223372029471860422	-1.9459	NULL
-4611686013969517930	-2.0252	-2.0708
-4611686013034666463	-2.0302	NULL
-4611686010915440059	-2.0052	-2.0243

7960057904
----------------------------
MAX CONTINENTALNESS (Theoretical: )
-9223372036836012542	1.8535	NULL

30213811
----------------------------
MIN WEIRDNESS (Theoretical: )
159177179	-1.8075	NULL
418459680	-1.8076	NULL	y=-55
4611686018542750440	-1.7483	NULL	y=-50
4611686018583925685	-1.7755	NULL
-9223372036828847632	-1.7330	NULL
-9223372036734228207	-1.7566	NULL
-9223372036411943172	NULL	NULL	y=-51 (LB)

538754717
